read_id,pool,species_taxid,species_name
260608-Copl-NAS-P1__fa77ceff-cc16-4252-adf0-468524c4b8ca,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__66449da8-b9c0-484b-86c0-a7f79d617d2f,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__27a894bb-8596-4cd7-bca0-01ace24cf5d5,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__90994c5e-8216-48d7-8333-3e6677916a71,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__686f5eea-7f19-4b69-b569-151333d2e3d7,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__169fc7e9-e418-4f00-b2d7-d892b1bd278e,260608-Copl-NAS-P1,463676,Rhinovirus C
260608-Copl-NAS-P1__35158fa3-9a37-4856-a4eb-c9d3e81a47dc,260608-Copl-NAS-P1,463676,Rhinovirus C
260608-Copl-NAS-P1__72b18bb1-5373-401d-bd36-8e9d8c20bd84,260608-Copl-NAS-P1,463676,Rhinovirus C
260608-Copl-NAS-P1__3bb69915-f1f8-4b1d-97e2-17a226ee6226,260608-Copl-NAS-P1,463676,Rhinovirus C
260608-Copl-NAS-P1__9c9bab5b-bcfc-4883-a32f-2229b1712bd6,260608-Copl-NAS-P1,463676,Rhinovirus C
260608-Copl-NAS-P1__c70c8551-1726-45c9-94fe-bdb5790333ca,260608-Copl-NAS-P1,463676,Rhinovirus C
260608-Copl-NAS-P1__f8b18f31-c0fd-41fb-9a50-ae632a008edb,260608-Copl-NAS-P1,463676,Rhinovirus C
260608-Copl-NAS-P1__f22103e6-5156-4e6f-b2f3-2c6168ea6ea9,260608-Copl-NAS-P1,463676,Rhinovirus C
260608-Copl-NAS-P1__dd6594ff-6a35-49d7-8a33-17575d1333bb,260608-Copl-NAS-P1,147712,Rhinovirus B
260608-Copl-NAS-P1__88a15acc-3d14-4e6f-be34-13f30f4565ad,260608-Copl-NAS-P1,147712,Rhinovirus B
260608-Copl-NAS-P1__db07459c-ab81-4f8d-b738-fd1225cc4d3c,260608-Copl-NAS-P1,1330521,Enterovirus J
260608-Copl-NAS-P1__5f8767b5-9632-4167-b92e-86acddc898cc,260608-Copl-NAS-P1,1330521,Enterovirus J
260608-Copl-NAS-P1__2b9d3f8a-7c59-46b8-aacd-89a275635aca,260608-Copl-NAS-P1,138951,Enterovirus D
260608-Copl-NAS-P1__e144d172-5c10-45db-a908-9310b53af689,260608-Copl-NAS-P1,138951,Enterovirus D
260608-Copl-NAS-P1__e7fd06c5-25bf-422d-a70f-c8b2e1fb047e,260608-Copl-NAS-P1,138951,Enterovirus D
260608-Copl-NAS-P1__c322be82-3853-4631-8095-c4a0871b6c59,260608-Copl-NAS-P1,138951,Enterovirus D
260608-Copl-NAS-P1__5ba28475-0ffe-4fd6-9a1a-8b42a9b5bf0c,260608-Copl-NAS-P1,138951,Enterovirus D
260608-Copl-NAS-P1__622ee2ac-2e0f-4c83-89c2-003edf91e532,260608-Copl-NAS-P1,138951,Enterovirus D
260608-Copl-NAS-P1__9abeeda4-4b06-4fb6-9f38-ad62a0207872,260608-Copl-NAS-P1,138951,Enterovirus D
260608-Copl-NAS-P1__99dafe1f-9769-4dd9-a59c-aa66effdb589,260608-Copl-NAS-P1,138951,Enterovirus D
260608-Copl-NAS-P1__a2ba3b12-1985-4e22-97ef-aa0a2b6b8969,260608-Copl-NAS-P1,138951,Enterovirus D
260608-Copl-NAS-P1__a50e96cf-afdb-433e-84a7-8a0fb987b82f,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__639a2596-0944-4524-9087-57779db93aee,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__f496c354-9bdf-41e2-a8ba-f2f58cae3c43,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__43ad3133-8c83-4d14-8fa1-6f8038436ca8,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__18293da7-5930-4943-b1c2-9c81bbdf3174,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__e2c06a70-ef82-412c-a408-cbcf71e2e48e,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__45a7d8bb-5836-4439-b66c-896fed56798b,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__7dfb4bab-dea8-4bd9-949e-547789649c60,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__7c0079c7-e5be-4801-ad1a-06ba4075192a,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__0a6fbdff-8df7-4a43-90b4-2b2ca3802529,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__185f0a93-fc45-43a5-aa9a-fa91e369f009,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__4303bd0c-943f-40c0-b2e7-f5c18db84f12,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__ec568a71-2bd7-4a6a-93f7-7856aa5fe262,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__9cd4daf3-a72e-46d2-a9d4-409c8f2b3201,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__30174fe0-7b04-4514-85ef-ff66ef4ecfcf,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__1b976705-7685-4837-9c6b-e4f2b73213d2,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__7806dfdc-6eb7-4803-ad74-02c8dd84a14c,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__bec499d8-cf8d-4ef0-b338-1f37c1f95b1b,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__c14c412c-1abd-40ef-8008-344ad04d92da,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__0c88f511-b49e-44c8-b2e9-af7d358546ed,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__04bbe9db-c917-4f22-9083-69f4c335c23a,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__0cd7a2f1-eb41-49f3-910a-53883ca356da,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__0476f8fc-1244-4fcb-b942-d895feba28ba,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__f2f5e92d-d167-40b7-b20a-4a2cefa982d4,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__814e23e3-8e4e-4b45-ac25-b12494001d05,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__8e9dc982-dd4a-4248-95b1-3892b115d847,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__766140b9-508f-4dcf-80c1-ebcc75dba0e5,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__b79ecb1a-9eb3-40b8-baf1-d709319cd598,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__09f6812a-28e2-4ce9-96b8-43c3a11ed6a0,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__47a9b69d-948a-4650-801b-b8b5a947b955,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__bb741cdd-f9a3-4581-84ea-b887d82cfd1f,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__45e71ab3-68e4-4cb2-a53f-2fe641c08380,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__c4c07915-c9ff-450c-b823-567ab5ab9d38,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__ed473fb0-74ef-4ad1-8ded-43e09c4619da,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__d8bdc4cd-774c-4f78-8f36-653f09a09bb2,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__87ab1f63-df7d-4d77-97a7-eb2e9570c13c,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__156f1d99-8529-486f-bf1b-2f5af7870239,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__f23e5179-7b51-423f-b328-ba120304dd2b,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__a31b2b57-8852-4c37-8bb3-8da0cf0c4079,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__090f827e-79ef-4d67-80c8-fbe925a9f672,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__d6003594-56be-4b0a-9890-a0f6c237ace6,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__615017b4-b286-44e1-8367-b23575d04af5,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__568f16dc-f437-4b41-8c31-a34cde7d5aef,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__945c17e1-140e-4fcc-a436-fa35b6a3f785,260608-Copl-NAS-P1,2169885,Enterovirus L
260608-Copl-NAS-P1__ef99aa3a-780d-4bd1-933c-dff9af6d1387,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__78a2c636-a460-4e72-9a4a-786900d47e1d,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__f5942b5d-52cb-4b3f-96fd-6d8cc885ab59,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__9109a3fa-29ed-46f9-ab0a-a9c746bb5c33,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__030f4598-0d80-44b8-8e93-827d6d322a55,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__34bab357-a6ff-47fd-91e7-061cbb4e9767,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__e71fb4be-173c-42df-9742-e0dffe4d08e4,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__8b8f1044-b2eb-4f7f-addb-a8ee3b4c69cd,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__7ded35d3-1ea0-4f9d-aa00-9c7280d6d3e3,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__284f8307-0ede-4a12-9060-1d340f352d7f,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__8691693a-563f-424c-b3f4-737c28907b5d,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__583147b5-546f-4375-90b5-063b4277ee31,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__4f1de211-33e0-45b7-a7b2-de908c7ca005,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__8d2d9125-c746-4490-8d46-1eb56d3243ae,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__b352b698-178d-42c4-8a57-39057c3fbb6a,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__cb435665-9f5e-45de-afca-e4840b99b293,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__b51692d8-1c63-48a1-87e1-8e4fe9c0c2d7,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__a040bcf0-b226-4085-8fc3-6d81eab2c308,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__a7a5b486-0369-43e7-92f3-23378880079c,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__08600116-f9a4-46ba-a337-e4b2e3df61ca,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__a454c4f9-9fb0-4c71-bede-e7586cc6b7e0,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__7b57d8be-ee0d-43b8-9d13-fffa371a4315,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__37089c4d-0ef8-4ea4-9821-0975010f4479,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__cf344e42-6570-40fe-b98f-be2609c10e0f,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__386c581b-cd18-41df-9fd7-13a229746bce,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__d67bc9b2-9a0b-4b9e-a497-28d41a9cc566,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__a3609343-5128-43af-8f42-485e18dbf831,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__ae0c413e-44b5-4da6-8d95-ddbb1039cd2d,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__c2da483c-df35-424e-b3d6-3b7528ac6737,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__2938a2ee-80ea-4537-b5ac-78b771085bb1,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__c5d0826f-853c-4545-b68c-af5c47a3a912,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__d0343668-81e8-443d-b00a-299d03a2aa99,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__9c38d921-2573-4086-9c06-e94a7e54528f,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__52667675-84d9-44d9-b1d2-821a9d604081,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__b1d2a6c1-c66f-4fac-acb9-58ec51485c5d,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__ff8677d5-bea3-4d98-9a66-f7f37337ca98,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__0370bb79-9492-4c9a-861e-46dc61ced509,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__6f0386ed-a808-4362-a00a-c5042edd2528,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__7d48d7f8-878f-457e-a820-623bbe964dd5,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__3994efde-c207-40c4-8d7e-7afb3ab7ea17,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__01f36b64-8b40-4da7-962f-ce75ec5f170e,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__4bca1636-7786-480f-87ff-ddd2cb93149f,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__f7bcf010-632c-4a05-919e-3d0563bd321c,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__64c5be44-1924-4718-9ecd-0a95fbef65a9,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__799013a4-6895-4bd3-acd9-4810ca479b17,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__6b48d621-715e-4acf-ae06-0c2e250d677e,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__dca1db40-c12a-4e7a-9481-4242aa7c2fd4,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__7e7dd975-5626-478f-bdb4-42b4524ab318,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__94f75f5c-12d0-4b4e-b33f-2aeeb42e61f6,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__76f53c10-2759-402b-8e6a-7a43a2f440cb,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__704f52ea-cc78-4fc0-855c-0e344b93df50,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__85557c53-33aa-490e-907b-ad6fe5129c1e,260608-Copl-NAS-P1,138949,Enterovirus B
260608-Copl-NAS-P1__69a6f1b7-1c36-4c3a-a305-9fd6e96c5f16,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__928df742-066f-4cee-b276-27408a9aed54,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__5c6785ee-9c0d-4af6-b5ea-8a82ea3e23a6,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__b6b7de7a-85d9-4d45-b971-0322916cca15,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__74ba8bef-5228-4006-a088-1ee77c601bd9,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__6c14c91e-a4b0-42d1-af84-7161193dc036,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__01e76441-80b4-4e32-8714-92c51f736599,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__fd55a686-a2ae-4053-994f-527f3b81e3aa,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__bf8bd673-65e6-403f-b405-f9072a00ffb1,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__a4d6ccb7-ecaf-4a97-9cca-eafacdf7988b,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__2bce2328-692d-4172-a54a-b89007489ab9,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__c7453a97-d5a2-4579-8f23-841b9ecdc0ab,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__cb543d55-8102-4dc2-bbf3-3bab29f37a67,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__9c1f6724-4f9e-40f5-9015-57ade3ccd053,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__976f2246-4285-49ab-b8d3-9282ac491b1c,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__99d49c96-10e3-4e8c-9d00-fded459c396a,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__127a6334-c306-4873-97cd-590c3aad1626,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__ad5b7718-054d-4283-8d5d-df2043dc6c68,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__0363f665-25bf-4b8c-8a8a-84426d2cc409,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__0227d424-286e-4185-9f48-f185d6466b87,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__fa5a7da4-10f0-4cc7-8a18-66ea2f0d2056,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__8dc1df65-b3b0-4a1a-b680-7a4794fb581c,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__83b14f29-baef-474b-aea5-b9b4090d7132,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__2cda29e5-2c3d-4087-be3e-7d8dffd3a06d,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__82bdda4b-9e0c-4a63-9945-945cb42762a9,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__a96b5b00-421c-4f10-b009-01023d5e2c2a,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__8d02983a-72b0-48a0-be57-c908ffe09745,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__40b70584-d33c-402a-b33f-a43d38c1d5a5,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__2e76cb78-e764-4181-be87-f902f0c52735,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__acf96807-941f-4b66-936c-aea3f65daa32,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__e2adb595-fc32-450c-935f-25f6e9d77192,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__5235125f-5af9-4f67-9d95-a78d46265a33,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__5bc5ce9e-19be-4e7c-9160-87b139b4e023,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__c670fd0d-2ef0-4ad6-bbf1-0da175d64da3,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__29bd0720-4bff-4345-ab79-3dfd03eb9ef1,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__cf153043-aef7-4762-8191-fb8af7b16ce7,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__65b247ea-decc-4af1-93b2-6e0c8e0e9bd5,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__b18b002b-17ac-4846-a32a-da1a5409315a,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__61a234d6-12cb-419e-b4fb-5e3f5f892205,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__5863f577-c829-4934-8975-4db6487043d6,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__ca2866a0-aa5b-492e-b577-02fa71b3ef29,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__59b0a3e5-9063-4719-8ae2-65f539887ae9,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__c1123bb1-b6b0-4fcb-a0de-14d8ae6acfca,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__3e071254-1fe8-4957-87cb-9637f309f8e7,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__f2577784-2950-4242-b51e-31fc994f510b,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__34523fcc-0147-41b0-a7d0-9fa906686f96,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__7c0ba9d8-72e8-4ee6-a9e4-2e3bcd806d1e,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__b4dcf412-32a2-4a63-a204-70f14df319c8,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__f254da60-9e53-4735-9528-10835fb26344,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__0bf15f2a-c924-4c4e-8617-882997b9d1c5,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__47322679-ae88-4388-bec7-3b1402eeb19e,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__0bac581b-0f30-4e1a-9558-1dc60efdf5be,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__da0d69e6-127d-4be3-88b9-8d66f6378389,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__ca1d7e68-70d7-465d-bcaf-e87e735ccacb,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__6b89a168-396e-4b7c-b9a9-3ed86614ae61,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__ddcdb99b-fb28-4344-91e7-725567b8df77,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
260608-Copl-NAS-P1__797f9d45-bfe2-478d-8f5a-ae8a14f1cc03,260608-Copl-NAS-P1,2955935,Gammainfluenzavirus influenzae
